country,orgname,repname,watchers_count,forks,open_issues,size,52weeksactivity
Brazil,labhackercd,blog,0,0,0,1076,0
Brazil,labhackercd,brasilcausal,0,0,0,120,0
Brazil,labhackercd,cloud_text,0,0,0,204,0
Brazil,labhackercd,colab-discourse-plugin,0,0,0,32,0
Brazil,labhackercd,colab-edemocracia-plugin,0,0,0,1215,0
Brazil,labhackercd,colab-wikilegis-plugin,0,0,0,42,26
Brazil,labhackercd,dados-abertos,28,2,37,116,0
Brazil,labhackercd,dados-abertos-2.0,12,1,4,23280,0
Brazil,labhackercd,edemocracia-chef,0,0,0,61,0
Brazil,labhackercd,edm,6,1,2,2174,0
Brazil,labhackercd,edmfeed,0,0,0,4748,0
Brazil,labhackercd,estagioparticipacao,0,0,0,292,0
Brazil,labhackercd,estagioparticipacao-feed,0,0,0,4606,0
Brazil,lexml,akka-javascript-actor,0,0,0,168,0
Brazil,lexml,eventstream,0,0,0,144,0
Brazil,lexml,jshortcut,0,0,0,276,0
Brazil,lexml,json-model-mirror-actor,0,0,0,132,0
Brazil,lexml,lexcomp,4,2,25,1706,8
Brazil,lexml,lexml-coleta-validador,0,1,1,37,10
Brazil,lexml,lexml-diff,0,0,0,156,0
Brazil,lexml,lexml-linker,0,0,1,166,3
Brazil,lexml,lexml-parser-projeto-lei,2,0,2,187,9
Brazil,lexml,lexml-parser-projeto-lei-ws,0,0,0,508,0
Brazil,lexml,lexml-parser-projeto-lei-ws-api,0,0,0,424,0
Brazil,lexml,lexml-renderer-pdf,0,0,0,784,0
Brazil,lexml,lexml-renderer-rtf,0,0,0,812,0
Brazil,lexml,lexml-renderer-scala,0,0,0,392,0
Brazil,lexml,lexml-swing-componentes,0,0,0,248,0
Brazil,lexml,lexml-swing-editorhtml,0,0,1,420,0
Brazil,lexml,lexml-swing-spellchecker,0,1,0,4746,0
Brazil,lexml,lexml-toolkit,0,0,0,9363,4
Brazil,lexml,lexml-xml-samples,0,0,0,404,0
Brazil,lexml,lexml-xml-schemas,0,0,0,117,19
Brazil,lexml,madoc,1,1,1,758,1
Brazil,lexml,mvn-repo,0,0,0,222325,13
