group,orgs,repos,watchers_count,forks,open_issues,size,members,uniqmembers,followers,public_gists,52weeksactivity
United States,379,4307,32605,16235,14761,158610063,1500,1302,0,12,32
UK,73,1347,1683,1003,1346,9414098,172,152,0,0,31
Rest of the world,151,1483,2353,1861,3020,12899326,385,373,0,1,15
European Union (EU),98,1135,3802,1460,3697,13938963,196,189,0,1,29
Civic,245,3295,21384,10618,14412,34061658,1685,1502,0,12,33
